101, 29, 0, Bask, Pyr, GABA
102, 29, 0, Bask, Pyr, GABA
103, 29, 0, Bask, Pyr, GABA
104, 29, 0, Bask, Pyr, GABA
105, 29, 0, Bask, Pyr, GABA
106, 29, 0, Bask, Pyr, GABA
107, 29, 0, Bask, Pyr, GABA
108, 29, 0, Bask, Pyr, GABA
109, 29, 0, Bask, Pyr, GABA
110, 29, 0, Bask, Pyr, GABA
111, 29, 0, Bask, Pyr, GABA
112, 29, 0, Bask, Pyr, GABA
113, 29, 0, Bask, Pyr, GABA
114, 29, 0, Bask, Pyr, GABA
115, 29, 0, Bask, Pyr, GABA
116, 29, 0, Bask, Pyr, GABA
117, 29, 0, Bask, Pyr, GABA
118, 29, 0, Bask, Pyr, GABA
119, 29, 0, Bask, Pyr, GABA
120, 29, 0, Bask, Pyr, GABA
101, 30, 0, Bask, Pyr, GABA
102, 30, 0, Bask, Pyr, GABA
103, 30, 0, Bask, Pyr, GABA
104, 30, 0, Bask, Pyr, GABA
105, 30, 0, Bask, Pyr, GABA
106, 30, 0, Bask, Pyr, GABA
107, 30, 0, Bask, Pyr, GABA
108, 30, 0, Bask, Pyr, GABA
109, 30, 0, Bask, Pyr, GABA
110, 30, 0, Bask, Pyr, GABA
111, 30, 0, Bask, Pyr, GABA
112, 30, 0, Bask, Pyr, GABA
113, 30, 0, Bask, Pyr, GABA
114, 30, 0, Bask, Pyr, GABA
115, 30, 0, Bask, Pyr, GABA
116, 30, 0, Bask, Pyr, GABA
117, 30, 0, Bask, Pyr, GABA
118, 30, 0, Bask, Pyr, GABA
119, 30, 0, Bask, Pyr, GABA
120, 30, 0, Bask, Pyr, GABA
101, 31, 0, Bask, Pyr, GABA
102, 31, 0, Bask, Pyr, GABA
103, 31, 0, Bask, Pyr, GABA
104, 31, 0, Bask, Pyr, GABA
105, 31, 0, Bask, Pyr, GABA
106, 31, 0, Bask, Pyr, GABA
107, 31, 0, Bask, Pyr, GABA
108, 31, 0, Bask, Pyr, GABA
109, 31, 0, Bask, Pyr, GABA
110, 31, 0, Bask, Pyr, GABA
111, 31, 0, Bask, Pyr, GABA
112, 31, 0, Bask, Pyr, GABA
113, 31, 0, Bask, Pyr, GABA
114, 31, 0, Bask, Pyr, GABA
115, 31, 0, Bask, Pyr, GABA
116, 31, 0, Bask, Pyr, GABA
117, 31, 0, Bask, Pyr, GABA
118, 31, 0, Bask, Pyr, GABA
119, 31, 0, Bask, Pyr, GABA
120, 31, 0, Bask, Pyr, GABA
101, 32, 0, Bask, Pyr, GABA
102, 32, 0, Bask, Pyr, GABA
103, 32, 0, Bask, Pyr, GABA
104, 32, 0, Bask, Pyr, GABA
105, 32, 0, Bask, Pyr, GABA
106, 32, 0, Bask, Pyr, GABA
107, 32, 0, Bask, Pyr, GABA
108, 32, 0, Bask, Pyr, GABA
109, 32, 0, Bask, Pyr, GABA
110, 32, 0, Bask, Pyr, GABA
111, 32, 0, Bask, Pyr, GABA
112, 32, 0, Bask, Pyr, GABA
113, 32, 0, Bask, Pyr, GABA
114, 32, 0, Bask, Pyr, GABA
115, 32, 0, Bask, Pyr, GABA
116, 32, 0, Bask, Pyr, GABA
117, 32, 0, Bask, Pyr, GABA
118, 32, 0, Bask, Pyr, GABA
119, 32, 0, Bask, Pyr, GABA
120, 32, 0, Bask, Pyr, GABA
101, 33, 0, Bask, Pyr, GABA
